Test Group,Rack,host  IP,idrac ip,Model,Service tag,Hostname,sys_gen,Form,Slot,bios version,cpu_name,cpu family,memory,backplane,boss card info,perc info,perc version
,B11,,10.148.51.218,R7625,7F8DH04,e6s35-del-u2204,16G,,8,1.8.3,AMD EPYC 9224,Genoa,DDR5 DIMM,1.75,BOSS-N1 Monolithic,,
ESS-DR,B11,,10.148.51.229,R7615,2FT8704,2ft8704-PowerEdge-7615,16G,,24,1.9.5,AMD EPYC 9124,Genoa,DDR5 DIMM,3.32,BOSS-N1 Monolithic,,
,B11,,10.148.51.232,C6620,FKVPW04,,16G,,2,2.4.4,Intel Xeon Gold 6430,Sapphire Rapids,DDR5 DIMM,7.1,BOSS-N1 Modular(Integrated),,
,B11,,10.148.51.236,C6620,DKVPW04,E6S37-DEL-SLES155.micron.com,16G,,2,2.6.3,Intel Xeon Gold 6430,Sapphire Rapids,DDR5 DIMM,7.1,BOSS-N1 Modular(Integrated),,
,B11,,10.148.51.233,R750XS,CXK1RN3,dhcp-10-116-47-121.micron.com,15G,,24,1.14.1,Intel Xeon Silver 4310,Ice Lake,DDR4 DIMM,7.1,,PERC H345 Front,
,B11,,10.148.51.234,R760,7220XX3,WIN-031SCBT0QJI,16G,,24,2.4.4,Intel Xeon Gold 6430,Sapphire Rapids,DDR5 DIMM,1.61,,PERC H965i Front,
ESS-DR,B11,,10.148.51.249,R670,2P00L84,MINWINPC,17G,,8,1.3.2,Intel Xeon 6710E,Sierra Forest,DDR5 DIMM,1.77,,,
,B11,,10.148.51.240,R750XA,8RQ33Q3,,15G,,8,1.5.4,Intel Xeon Gold 6330,Ice Lake,DDR4 DIMM,3.57,,PERC H755N Front,
,B11,,10.148.51.244,C6620,DFYH7Y3,,16G,,4,1.3.2,Intel Xeon Gold 6426Y,Sapphire Rapids,DDR5 DIMM,7.1,BOSS-N1 Modular(Integrated),,
,B11,,10.148.51.242,R750XS,BXK1RN3,,15G,,24,1.5.4,Intel Xeon Silver 4310,Ice Lake,DDR4 DIMM,3.57,,PERC H345 Front,
ESS-DR,B11,,10.148.51.224,R6525,FKXT243,J2S29-DEL-WIN25,15G,,10,2.6.6,AMD EPYC 7402,Rome,DDR4 DIMM,3.57,,,
ESS-DR,B11,,10.148.51.237,R770,BLMRK84,b11-dell-blmrk84-win25,17G,,16,1.3.2,Intel Xeon 6746E,Sierra Forest,DDR5 DIMM,1.77,,,
,B11,,10.148.51.253,R650,B9GKWP3,MINWINPC,15G,,10,1.15.2,Intel Xeon Gold 6330,Ice Lake,DDR4 DIMM,7.1,,,
ESS-DR,B11,10.148.51.230,10.148.51.231,R7715,H9XLDB4,MINWINPC,17G,,40,1.2.4,AMD EPYC 9275F,Turin,DDR5 DIMM,1.77,BOSS-N1 DC-MHS,,
